split,model,n_test,n_events_test,auc,auc_lo,auc_hi,oe,observed_rate,expected_rate,sens_at_0.03,nb_at_0.03
LOCO:NHANES3,raw_hf,8751,157,0.659,0.6216,0.7087,0.518,0.0179,0.0346,0.586,8e-05
LOCO:NHANES3,stage1,8751,157,0.7214,0.6911,0.7605,0.925,0.0179,0.0194,0.484,0.00384
LOCO:NHANES3,stage2,8751,157,0.7133,0.684,0.7584,0.892,0.0179,0.0201,0.478,0.00365
LOCO:NHANES3,stage3,8751,157,0.6956,0.6643,0.7388,0.864,0.0179,0.0208,0.408,0.00433
LOCO:NHANES3:race=nh_black+female,raw_hf,1136,8,0.4941,0.2721,0.672,,,,,
LOCO:NHANES3:race=nh_black+female,stage1,1136,8,0.4941,0.2721,0.672,,,,,
LOCO:NHANES3:race=nh_black+female,stage2,1136,8,0.4935,0.2664,0.6751,,,,,
LOCO:NHANES3:race=nh_black+female,stage3,1136,8,0.4878,0.3056,0.6266,,,,,
LOCO:NHANES3:race=nh_white+female,raw_hf,3278,64,0.8501,0.8091,0.8951,,,,,
LOCO:NHANES3:race=nh_white+female,stage1,3278,64,0.8501,0.8091,0.8951,,,,,
LOCO:NHANES3:race=nh_white+female,stage2,3278,64,0.8511,0.8112,0.8956,,,,,
LOCO:NHANES3:race=nh_white+female,stage3,3278,64,0.8228,0.7752,0.8724,,,,,
LOCO:NHANES_D,raw_hf,2256,36,0.6166,0.5083,0.7014,0.572,0.016,0.0279,0.472,-0.0008
LOCO:NHANES_D,stage1,2256,36,0.6681,0.564,0.7593,1.014,0.016,0.0157,0.361,0.00258
LOCO:NHANES_D,stage2,2256,36,0.672,0.5639,0.7567,1.034,0.016,0.0154,0.333,0.00251
LOCO:NHANES_D,stage3,2256,36,0.6604,0.5577,0.7507,1.039,0.016,0.0154,0.306,0.00289
LOCO:NHANES_D:race=nh_black+female,raw_hf,222,4,0.6101,0.2578,0.9743,,,,,
LOCO:NHANES_D:race=nh_black+female,stage1,222,4,0.3899,0.0257,0.7422,,,,,
LOCO:NHANES_D:race=nh_black+female,stage2,222,4,0.6686,0.4624,0.8879,,,,,
LOCO:NHANES_D:race=nh_black+female,stage3,222,4,0.5505,0.1719,0.8321,,,,,
LOCO:NHANES_D:race=nh_white+female,raw_hf,586,10,0.7566,0.51,0.9309,,,,,
LOCO:NHANES_D:race=nh_white+female,stage1,586,10,0.7566,0.51,0.9309,,,,,
LOCO:NHANES_D:race=nh_white+female,stage2,586,10,0.7616,0.5194,0.9391,,,,,
LOCO:NHANES_D:race=nh_white+female,stage3,586,10,0.7613,0.522,0.9329,,,,,
LOCO:NHANES_E,raw_hf,3197,42,0.6303,0.5437,0.7109,0.48,0.0131,0.0274,0.524,-0.00182
LOCO:NHANES_E,stage1,3197,42,0.5645,0.4962,0.6484,0.866,0.0131,0.0152,0.119,-0.0016
LOCO:NHANES_E,stage2,3197,42,0.5727,0.4922,0.653,0.888,0.0131,0.0148,0.119,-0.00086
LOCO:NHANES_E,stage3,3197,42,0.5674,0.483,0.6588,0.884,0.0131,0.0149,0.071,-0.00052
LOCO:NHANES_E:race=nh_black+female,raw_hf,307,6,0.5006,0.239,0.7679,,,,,
LOCO:NHANES_E:race=nh_black+female,stage1,307,6,0.5006,0.239,0.7679,,,,,
LOCO:NHANES_E:race=nh_black+female,stage2,307,6,0.5786,0.4034,0.734,,,,,
LOCO:NHANES_E:race=nh_black+female,stage3,307,6,0.5133,0.2349,0.7296,,,,,
LOCO:NHANES_E:race=nh_white+female,raw_hf,806,16,0.7051,0.5841,0.7973,,,,,
LOCO:NHANES_E:race=nh_white+female,stage1,806,16,0.7051,0.5841,0.7973,,,,,
LOCO:NHANES_E:race=nh_white+female,stage2,806,16,0.6809,0.5523,0.7856,,,,,
LOCO:NHANES_E:race=nh_white+female,stage3,806,16,0.6455,0.4775,0.7687,,,,,
LOCO:NHANES_F,raw_hf,3363,61,0.6281,0.5476,0.7076,0.672,0.0181,0.027,0.508,0.00073
LOCO:NHANES_F,stage1,3363,61,0.7177,0.6429,0.7902,1.192,0.0181,0.0152,0.344,0.00402
LOCO:NHANES_F,stage2,3363,61,0.7085,0.6307,0.7847,1.242,0.0181,0.0146,0.213,0.00245
LOCO:NHANES_F,stage3,3363,61,0.6973,0.6146,0.7662,1.243,0.0181,0.0146,0.213,0.00255
LOCO:NHANES_F:race=nh_white+female,raw_hf,833,15,0.7284,0.5422,0.8963,,,,,
LOCO:NHANES_F:race=nh_white+female,stage1,833,15,0.7284,0.5422,0.8963,,,,,
LOCO:NHANES_F:race=nh_white+female,stage2,833,15,0.7197,0.5414,0.8866,,,,,
LOCO:NHANES_F:race=nh_white+female,stage3,833,15,0.7393,0.5949,0.89,,,,,
LOCO:NHANES_F:race=mexican_american+female,raw_hf,307,3,0.727,0.4802,0.9522,,,,,
LOCO:NHANES_F:race=mexican_american+female,stage1,307,3,0.727,0.4802,0.9522,,,,,
LOCO:NHANES_F:race=mexican_american+female,stage2,307,3,0.7303,0.4949,0.9431,,,,,
LOCO:NHANES_F:race=mexican_american+female,stage3,307,3,0.7122,0.4488,0.955,,,,,
